Dataset,Sample,Prediction
atcosim_corpus,atcosim_corpus/sample_0.wav,lufthansa four three nine three descend to flight level two seven zero
atcosim_corpus,atcosim_corpus/sample_1.wav,contact milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_2.wav,u s air one four descend to flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_3.wav,aero lloyd five one seven set course direct to karlsruhe
atcosim_corpus,atcosim_corpus/sample_4.wav,swiss air four eight eight climb to flight level three two zero
atcosim_corpus,atcosim_corpus/sample_5.wav,air france three five six set course to morok
atcosim_corpus,atcosim_corpus/sample_6.wav,air france three five six reims one three four four good bye
atcosim_corpus,atcosim_corpus/sample_7.wav,viva nine zero eight one descend to flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_8.wav,swiss air four eight eight contact rhein one three two decimal four adieu
atcosim_corpus,atcosim_corpus/sample_9.wav,air france one five five four milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_10.wav,lufthansa four three nine three you are still on the frequency
atcosim_corpus,atcosim_corpus/sample_11.wav,aero lloyd five one seven rhein one two zero nine two good bye
atcosim_corpus,atcosim_corpus/sample_12.wav,adria one six four two good afternoon squawk two seven one zero
atcosim_corpus,atcosim_corpus/sample_13.wav,u s air one four contact milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_14.wav,ltu seven seven five six geneva one three three one five tschuss
atcosim_corpus,atcosim_corpus/sample_15.wav,transwede one zero seven geneva one three three one five adios
atcosim_corpus,atcosim_corpus/sample_16.wav,iberia three four two two good morning radar contact route trasadingen nelli
atcosim_corpus,atcosim_corpus/sample_17.wav,alitalia one one seven descend to flight level two five zero
atcosim_corpus,atcosim_corpus/sample_18.wav,contact milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_19.wav,lufthansa four six five two guten tag maintain level three three zero trasadingen st prex
atcosim_corpus,atcosim_corpus/sample_20.wav,air malta one hundred good morning squawk five seven one seven
atcosim_corpus,atcosim_corpus/sample_21.wav,adria one six four two is identified set course direct to morok
atcosim_corpus,atcosim_corpus/sample_22.wav,lufthansa eight two two one guten tag maintain three three zero trasadingen zurich east fusse
atcosim_corpus,atcosim_corpus/sample_23.wav,viva nine zero eight one milan one three four five two adios
atcosim_corpus,atcosim_corpus/sample_24.wav,air malta one hundred is identified cleared negra trasadingen direct luxeuil
atcosim_corpus,atcosim_corpus/sample_25.wav,iberia three four two two continue present heading until advised
atcosim_corpus,atcosim_corpus/sample_26.wav,alitalia four zero one guten tag maintain three three zero
atcosim_corpus,atcosim_corpus/sample_27.wav,india sierra delta fox golf good morning squawk two seven four four
atcosim_corpus,atcosim_corpus/sample_28.wav,lufthansa four six five two turn right heading two one zero
atcosim_corpus,atcosim_corpus/sample_29.wav,india foxtrot golf is identified i ll call you back for higher in two minutes
atcosim_corpus,atcosim_corpus/sample_30.wav,lufthansa four five seven five good morning radar contact
atcosim_corpus,atcosim_corpus/sample_31.wav,shamrock four eight two two good afternoon descend to flight level three three zero
atcosim_corpus,atcosim_corpus/sample_32.wav,united six nine good morning roger
atcosim_corpus,atcosim_corpus/sample_33.wav,netherlands four one four
atcosim_corpus,atcosim_corpus/sample_34.wav,netherlands four one four descend to flight level three three zero
atcosim_corpus,atcosim_corpus/sample_35.wav,united six nine turn left one zero degrees
atcosim_corpus,atcosim_corpus/sample_36.wav,iberia three four two two turn right one zero degrees
atcosim_corpus,atcosim_corpus/sample_37.wav,lufthansa four five seven five climb to flight level three two zero
atcosim_corpus,atcosim_corpus/sample_38.wav,india fox golf climb to flight level three four zero
atcosim_corpus,atcosim_corpus/sample_39.wav,alitalia four correction alitalia two zero one turn left heading one seven zero
atcosim_corpus,atcosim_corpus/sample_40.wav,united six nine descend to flight level three four zero
